State,Number,Summary,Bill Type,Date,Status,Youth State Risk,Adult State Risk,Notes,URL,Sponsors,Calendar,History,Manual Status,Change Hash,Bill ID,PDF,Bill Analysis (AI Automated),Bill PDF
Alabama,HB111,"Sex-based terms, defined;  vital statistics, report sex as male or female at birth required, legislative policy regarding sex and gender identity established",End Legal Recognition,4/23/2024,Read for the Second Time and placed on the Calendar,Worst,Worst,"Uses IWF and WoLF's ""Women's Bill of Rights"" language",https://legiscan.com/AL/bill/HB111/2024,Susan DuBose,"Hearing 2024-02-21 13:30 Room 200, Hearing 2024-02-28 13:30 Room 200","H 2024-02-06 Read for the first time and referred to the House Committee on Judiciary, H 2024-02-06 Pending House Judiciary, H 2024-02-28 Reported Out of Committee House of Origin, H 2024-02-28 Committee Amendment Adopted 47JLI33-1, H 2024-02-28 Committee Amendment Adopted W48S559-1, H 2024-02-28 Committee Engrossed Substitute Adopted 7L7PE2E-1, H 2024-02-28 Read for the Second Time and placed on the Calendar, H 2024-04-11 Third Reading in House of Origin, H 2024-04-11 Judiciary  Engrossed Substitute Offered 7L7PE2E-1, H 2024-04-11 Motion to Adopt - Adopted Roll Call 514 7L7PE2E-1, H 2024-04-11 Carried Over to the Call of the Chair, H 2024-04-11 Judiciary 1st Amendment Offered 47JLI33-1, H 2024-04-11 Judiciary 2nd Amendment Offered W48S559-1, H 2024-04-11 Rafferty 1st Amendment Offered J6C1FNF-1, H 2024-04-11 Motion to Adopt - Adopted Roll Call 522 J6C1FNF-1, H 2024-04-11 Stadthagen 1st Amendment Offered FZ94CC5-1, H 2024-04-11 Motion to Read a Third Time and Pass as Amended - Adopted Roll Call 523, H 2024-04-11 Engrossed, S 2024-04-16 Read for the first time and referred to the Senate Committee on County and Municipal Government, S 2024-04-16 Pending Senate County and Municipal Government",Failed,5a62a592eb85f81158d0550d3eb938a5,1838621,"https://www.legislature.state.al.us/pdf/SearchableInstruments/2024RS/HB111-int.pdf, https://www.legislature.state.al.us/pdf/SearchableInstruments/2024RS/HB111-eng.pdf",,https://drive.google.com/open?id=1BTppJ8TUEUAY2Tz9iT7XrcojNXwC84IH
Alabama,HB4,"Crimes and offenses, further provides for obscenity crimes",Book Ban,7/8/2024,Pending House Judiciary,Worst,Worst,"Prefiled for 2025 session; re: K12 & public libraries, re: ""sexual or gender-oriented content""",https://legiscan.com/AL/bill/HB4/2025,,,,Roll Over,,,,,
Alabama,HB130,"Education, instruction about gender identity and sexual orientation in public K-12 schools, prohibited",Don't Say Gay Expansion,5/2/2024,Read for the Second Time and placed on the Calendar,Worst,Worst,complete ban up to 12th grade,https://legiscan.com/AL/bill/HB130/2024,Mack Butler,"Hearing 2024-03-06 13:30 Room 206, Hearing 2024-03-20 13:30 Room 206","H 2024-02-07 Read for the first time and referred to the House Committee on Education Policy, H 2024-02-07 Pending House Education Policy, H 2024-03-20 Education Policy 1st Amendment EX7EC2C-1, H 2024-03-20 Reported Out of Committee House of Origin from House Education Policy YUXP22N-1, H 2024-03-21 Read for the Second Time and placed on the Calendar",Failed,d53c58b7b3378898787e527d624fde66,1839515,https://www.legislature.state.al.us/pdf/SearchableInstruments/2024RS/HB130-int.pdf,,https://drive.google.com/open?id=1UzKr3cDOPU-hhsxr3xr4a86TllDJV94Q
Alabama,HB164,"Consumer Protection; online distribution of material harmful to minors, prohibited; online age-verification requirements, required",Online Obscenity Law,4/24/2024,Enacted,Worst,Worst,,https://legiscan.com/AL/bill/HB164/2024,Ben Robbins,"Hearing 2024-02-21 13:30 Room 200, Hearing 2024-03-20 08:30 Room 325","H 2024-02-14 Read for the first time and referred to the House Committee on Judiciary, H 2024-02-14 Pending House Judiciary, H 2024-02-21 Reported Out of Committee House of Origin, H 2024-02-21 Committee Amendment Adopted VEYMPLL-1, H 2024-02-22 Read for the Second Time and placed on the Calendar, H 2024-02-21 Committee Amendment Adopted CUIKJJJ-1, H 2024-02-21 Committee Amendment Adopted W42KE9E-1, H 2024-02-21 Committee Amendment Adopted TVUY995-1, H 2024-02-21 Committee Engrossed Substitute Adopted 25GWSSK-1, H 2024-02-29 Third Reading in House of Origin, H 2024-02-29 JUDY Reported Substitute Offered from House Judiciary 25GWSSK-1, H 2024-02-29 Motion to Adopt - Adopted Roll Call 162 25GWSSK-1, H 2024-02-29 Motion to Read a Third Time and Pass as Amended - Adopted Roll Call 163, H 2024-02-29 Engrossed, S 2024-03-06 Read for the first time and referred to the Senate Committee on Judiciary, S 2024-03-06 Pending Senate Judiciary, S 2024-03-20 Judiciary 1st Amendment IDU2WWZ-1, S 2024-03-20 Reported Out of Committee Second House, S 2024-03-21 Read for the Second Time and placed on the Calendar, S 2024-04-09 Third Reading in Second House, S 2024-04-09 Judiciary 1st Amendment Offered IDU2WWZ-1, S 2024-04-09 Livingston motion to Adopt - Adopted Roll Call 378 IDU2WWZ-1, S 2024-04-09 Motion to Read a Third Time and Pass as Amended - Adopted Roll Call 379, H 2024-04-11 Ready to Enroll, H 2024-04-11 Ready to Enroll, H 2024-04-11 Enrolled, H 2024-04-11 Enrolled, H 2024-04-16 Delivered to Governor, S 2024-04-16 Signature Requested",Enacted,741891759bc2063ba90929a5b6be2023,1846509,"https://www.legislature.state.al.us/pdf/SearchableInstruments/2024RS/HB164-int.pdf, https://www.legislature.state.al.us/pdf/SearchableInstruments/2024RS/HB164-eng.pdf, https://www.legislature.state.al.us/pdf/SearchableInstruments/2024RS/HB164-enr.pdf",,https://drive.google.com/open?id=1god4bODWxmQYbVA_AOYusF8vLmLNzJ0c
Alabama,HB167,"Consumer protection; filter requirements on Internet enabled devices, penalties for violation",Online Obscenity Law,5/7/2024,Read for the Second Time and placed on the Calendar,Worst,Worst,,https://legiscan.com/AL/bill/HB167/2024,Chris Sells,"Hearing 2024-03-06 15:00 Room 418, Hearing 2024-03-06 15:00 Room 418 UPDATED AGENDA","H 2024-02-14 Read for the first time and referred to the House Committee on Judiciary, H 2024-02-14 Pending House Judiciary, H 2024-02-15 Re-referred to Committee in House of Origin to House Commerce and Small Business, H 2024-03-06 Reported Out of Committee House of Origin, H 2024-03-06 Read for the Second Time and placed on the Calendar, H 2024-04-04 Third Reading in House of Origin, H 2024-04-04 Motion to Read a Third Time and Pass - Adopted Roll Call 388, S 2024-04-09 Read for the first time and referred to the Senate Committee on Fiscal Responsibility and Economic Development, S 2024-04-09 Pending Senate Fiscal Responsibility and Economic Development",Failed,ff90e16338864dce71e75783f3964655,1847116,https://www.legislature.state.al.us/pdf/SearchableInstruments/2024RS/HB167-int.pdf,,https://drive.google.com/open?id=1tcwtNRRI9sRrsvWSyKc452gPyWr_4XFl
Alabama,HB385,"Crimes and offenses, provided that the use of any premises to distribute material that is harmful to minors is a public nuisance and further provided for the definition of ""sexual conduct""",Drag Ban,5/2/2024,Read for the Second Time and placed on the Calendar,Worst,Worst,,https://legiscan.com/AL/bill/HB385/2024,Arnold Mooney,Hearing 2024-04-03 15:00 Room 206,"H 2024-04-02 Read for the first time and referred to the House Committee on State Government, H 2024-04-02 Pending House State Government, H 2024-04-03 Reported Out of Committee House of Origin, H 2024-04-04 Read for the Second Time and placed on the Calendar",Failed,1d2d3dac40b6d67e5eb31c818fbd797d,1869744,https://www.legislature.state.al.us/pdf/SearchableInstruments/2024RS/HB385-int.pdf,,https://drive.google.com/open?id=1vEbU6n2WfBAQBgmpFqZczTxTCOzrFRMu
Alabama,HB425,"Provision of sexual content to minor, prohibited; libraries prohibited from purchasing certain sexual content; certain entities prohibited from affiliating with American Library Assn.; cause of action, created; exception to Anti-Obscenity Enforcement Act for libraries and library employees, repealed",Book Ban,4/4/2024,Pending House Judiciary,Worst,Worst,"defines ""gender ideology"" as sexual content and bans libraries from giving access to it to minors",https://legiscan.com/AL/bill/HB425/2024,,,,Failed,,,,,
Alabama,SB129,"Diversity, equity, and inclusion; certain public entities prohibited from maintaining office that promotes diversity, equity, and inclusion programs; certain programs related to divisive concepts or diversity, equity, and inclusion, prohibited; promotion and endorsement of certain divisive concepts in certain public settings prohibited; exceptions provided; public institution of higher education, required to designate multioccupancy restrooms based on biological sex",DEI Ban / Trans Bathroom Ban,3/20/2024,Enacted,Worst,Worst,"No DEI for state agencies, public schools, or public institutions of higher learning.  Also, ""each public institution of higher education shall ensure that every multiple occupancy restroom be designated for use of individuals based on their biological sex""",https://legiscan.com/AL/bill/SB129/2024,Will Barfoot,"Hearing 2024-02-21 11:00 Finance and Taxation, Hearing 2024-03-05 10:00 Room 617","S 2024-02-20 Read for the first time and referred to the Senate Committee on County and Municipal Government, S 2024-02-20 Pending Senate County and Municipal Government, S 2024-02-21 Reported Out of Committee House of Origin, S 2024-02-21 Read for the Second Time and placed on the Calendar, S 2024-02-21 Committee Amendment Adopted Q63R151-1, S 2024-02-22 Third Reading in House of Origin, S 2024-02-22 C&MG Amendment Offered Q63R151-1, S 2024-02-22 Barfoot motion to Adopt - Adopted Roll Call 63 Q63R151-1, S 2024-02-22 Singleton Amendment Offered ITHK6W6-1, S 2024-02-22 Singleton motion to Adopt - Adopted Roll Call 64 ITHK6W6-1, S 2024-02-22 Singleton 2nd Amendment Offered 36SKVZZ-1, S 2024-02-22 Singleton motion to Adopt - Adopted Roll Call 65 36SKVZZ-1, S 2024-02-22 Coleman 2nd Amendment Offered 7LAF22E-1, S 2024-02-22 Coleman motion to Adopt - Lost Roll Call 66 7LAF22E-1, S 2024-02-22 Hatcher Amendment Offered Q6WJ144-1, S 2024-02-22 Hatcher motion to Adopt - Lost Roll Call 67 Q6WJ144-1, S 2024-02-22 Coleman-Madison Amendment Offered MVQMW11-1, S 2024-02-22 Coleman-Madison motion to Adopt - Adopted Roll Call 68 MVQMW11-1, S 2024-02-22 Motion to Read a Third Time and Pass as Amended - Adopted Roll Call 69, S 2024-02-22 Engrossed, S 2024-02-27 Engrossed, H 2024-02-27 Read for the first time and referred to the House Committee on State Government, H 2024-02-27 Pending House State Government, H 2024-03-05 Reported Out of Committee Second House, H 2024-03-05 Read for the Second Time and placed on the Calendar, H 2024-03-05 Committee Amendment Adopted MNZAWH1-1, H 2024-03-05 Committee Amendment Adopted TE8M511-1, H 2024-03-05 Committee Engrossed Substitute Adopted 48A1R3R-1, H 2024-03-07 Third Reading in Second House, H 2024-03-07 SG Reported Substitute Offered from House State Government 48A1R3R-1, H 2024-03-07 Motion to Adopt - Adopted Roll Call 219 48A1R3R-1, H 2024-03-07 Chestnut Amendment Offered JMGLFYF-1, H 2024-03-07 Motion to Adopt - Adopted Roll Call 220 JMGLFYF-1, H 2024-03-07 Motion to Read a Third Time and Pass as Amended - Adopted Roll Call 222, S 2024-03-19 Barfoot Motion to Concur - Adopted, S 2024-03-19 Ready to Enroll, S 2024-03-19 Delivered to Governor, H 2024-03-19 Signature Requested, S 2024-03-19 Enrolled, S 2024-03-20 Enacted",Enacted,30b99ca7a0fc91cc20581e584d2ee925,1851391,"https://www.legislature.state.al.us/pdf/SearchableInstruments/2024RS/SB129-int.pdf, https://www.legislature.state.al.us/pdf/SearchableInstruments/2024RS/SB129-eng.pdf, https://www.legislature.state.al.us/pdf/SearchableInstruments/2024RS/SB129-enr.pdf",,https://drive.google.com/open?id=1BK2WEwQ_F3aQWqRXKDriMZ47xXUHYG7V
Alabama,SB4,Flags; provides that the Freedom Flag may be displayed on public property and that displaying an unapproved flag on public property is a misdemeanor,Pride Flag Ban,5/7/2024,Currently Indefinitely Postponed,Worst,Worst,,https://legiscan.com/AL/bill/SB4/2024,Gerald Allen,"Hearing 2024-02-07 13:30 Finance and Taxation, Hearing 2024-02-14 13:30 Finance and Taxation, Hearing 2024-02-28 11:00 Finance and Taxation, Hearing 2024-03-06 12:30 Finance and Taxation","S 2023-09-21 Prefiled, S 2024-03-06 Reported Out of Committee House of Origin, S 2024-03-06 Committee Substitute Adopted H7UF638-1, S 2024-03-06 Read for the Second Time and placed on the Calendar",Failed,9ba9a9d9d8b4ce5f6fde37e25e963b49,1781660,https://www.legislature.state.al.us/pdf/SearchableInstruments/2024RS/SB4-int.pdf,,https://drive.google.com/open?id=1ndpxRX0_C_Z6z6juCqZC6HkzR4EIufo6
Alabama,SB92,"Sex-based terms, defined;  vital statistics, report sex as male or female at birth required, legislative policy regarding sex and gender identity established",End Legal Recognition,5/7/2024,Currently Indefinitely Postponed,Worst,Worst,"Uses IWF and WoLF's ""Women's Bill of Rights"" language",https://legiscan.com/AL/bill/SB92/2024,April Weaver,Hearing 2024-02-20 13:00 Finance and Taxation,"S 2024-02-13 Read for the first time and referred to the Senate Committee on County and Municipal Government, S 2024-02-13 Pending Senate County and Municipal Government, S 2024-02-20 Reported Out of Committee House of Origin, S 2024-02-20 Read for the Second Time and placed on the Calendar, S 2024-02-20  CUKGJQQ-1, S 2024-02-20  CUF9QJJ-1, S 2024-04-18 Third Reading in House of Origin, S 2024-04-18 County and Municipal Government 1st Amendment Offered CUKGJQQ-1, S 2024-04-18 County and Municipal Government 2nd Amendment Offered CUF9QJJ-1, S 2024-04-18 Third Reading in House of Origin, S 2024-04-18 County and Municipal Government 1st Amendment Offered CUKGJQQ-1, S 2024-04-18 County and Municipal Government 2nd Amendment Offered CUF9QJJ-1, S 2024-04-18 Carried Over",Failed,da1704d4dece92ba7654ec3275f20bc9,1845772,https://www.legislature.state.al.us/pdf/SearchableInstruments/2024RS/SB92-int.pdf,,https://drive.google.com/open?id=1c2ZCFx-lhjfl15X9uGhNS4ahYF2iwc9X
