X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
-73.9722500196844,40.7742879599026,11D-AM-1010-03,11D,AM,10102018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,30,,false,false,true,false,false,grooming,false,false,false,false,false,false,true,false,,POINT (-73.9722500196844 40.7742879599026)
-73.9716147061553,40.7813911036179,18A-PM-1018-01,18A,PM,10182018,1,Adult,Gray,,Gray+,,Above Ground,30,,false,false,true,false,false,,false,false,false,false,false,false,false,false,,POINT (-73.9716147061553 40.7813911036179)
-73.9574648097543,40.7892508428622,31H-PM-1008-02,31H,PM,10082018,2,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,8,,true,false,true,false,false,,false,false,false,false,true,false,true,false,,POINT (-73.9574648097543 40.78925084286221)
-73.9579645940414,40.7918613498407,34F-AM-1007-01,34F,AM,10072018,1,Adult,Gray,White,Gray+White,,Above Ground,25,,true,false,true,false,false,,false,false,false,false,false,false,false,true,,POINT (-73.9579645940414 40.7918613498407)
-73.9595933195409,40.7905847332369,32E-AM-1007-13,32E,AM,10072018,13,Adult,Gray,,Gray+,,Above Ground,50,,false,false,true,false,false,,false,false,false,false,false,false,false,false,,POINT (-73.9595933195409 40.7905847332369)
-73.9602222116708,40.793779699421,35C-AM-1007-05,35C,AM,10072018,5,Adult,Gray,,Gray+,,Above Ground,4,,false,false,true,false,false,,false,false,false,false,false,false,false,false,,POINT (-73.9602222116708 40.793779699421)
-73.9675634326877,40.7813477352507,19D-AM-1007-01,19D,AM,10072018,1,Juvenile,Gray,,Gray+,,Ground Plane,FALSE,,false,false,true,true,false,,false,false,false,false,false,false,false,false,fenced off area can't approach,POINT (-73.9675634326877 40.7813477352507)
-73.9576245992455,40.7873862510001,29H-PM-1006-01,29H,PM,10062018,1,Adult,Gray,,Gray+,,Above Ground,50,,false,false,true,false,false,sitting,false,false,false,false,false,false,true,false,,POINT (-73.9576245992455 40.7873862510001)
-73.9676410497481,40.7766043512974,15G-PM-1019-05,15G,PM,10192018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,4,,false,false,true,false,false,,false,false,false,false,false,false,false,false,,POINT (-73.9676410497481 40.7766043512974)
-73.9708726050721,40.7723572030236,10F-AM-1007-02,10F,AM,10072018,2,Adult,Gray,,Gray+,,Above Ground,70,,false,false,true,false,false,,false,false,false,false,false,false,false,false,,POINT (-73.9708726050721 40.7723572030236)
