Election Cycle ,Candidate,Board Meeting Date,Violation,Current Violation Name,Final Board Determination
2019A,"Espinal, Rafael",08/31/2023,Failing to report transactions in daily pre-election disclosure statements,Failing to report transactions in daily pre-election disclosure statements,$250
2019A,"Espinal, Rafael",08/31/2023,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$5,050"
2019A,"Espinal, Rafael",08/31/2023,Accepting contributions from corporations and a limited liabilty company,Accepting contributions from corporations and a limited liabilty company,"$1,000"
2019A,"Blake, Michael",08/31/2023,Failing to document transactions,Failing to document transactions,$100
2019A,"Blake, Michael",08/31/2023,Failing to report transactions in daily pre-election disclosure statements,Failing to report transactions in daily pre-election disclosure statements,$250
2019A,"Blake, Michael",09/01/2023,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,VNP
2019A,"Blake, Michael",08/31/2023,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$125
2019A,"Blake, Michael",08/31/2023,Making impermissable post-election expenditures,Making impermissable post-election expenditures,"$1,184"
2019,"Borelli, Joseph",07/17/2023,Failing to disclose a merchant account,Failing to disclose a merchant account,$100
2019,"Borelli, Joseph",07/17/2023,Failing to provide bank and merchant account statements,Failing to provide bank and merchant account statements,$650
2019,"Borelli, Joseph",07/17/2023,Accepting a contribution from an unregistered political committee,Accepting a contribution from an unregistered political committee,$275
2019A,"Sheikh, Helal",07/17/2023,Failing to report transactions,Failing to report transactions,$101
2019A,"Sheikh, Helal",07/17/2023,Failing to respond to Draft Audit Report,Failing to respond to Draft Audit Report,$500
2019B,"Rose, Xamayla",06/02/2023,Failing to document transactions,Failing to document transactions,$149
2019B,"Rose, Xamayla",06/02/2023,Accepting over-the-limit contributions,Accepting over-the-limit contributions,$375
2019B,"Rose, Xamayla",06/02/2023,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships","$6,770"
2019B,"Rose, Xamayla",06/02/2023,Failing to demonstrate that spending was in furtherance of the campagin,Failing to demonstrate that spending was in furtherance of the campagin,VNP
2019B,"Rose, Xamayla",06/02/2023,Making impermissable post-election expenditures,Making impermissable post-election expenditures,"$1,804"
2019A,"Walker, Latrice",06/02/2023,Failing to disclose a political committee,Failing to disclose a political committee,$100
2019A,"Walker, Latrice",06/02/2023,Failing to provide merchant account statements,Failing to provide merchant account statements,$50
2019A,"Walker, Latrice",06/02/2023,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$3,325"
2021T,"Narcisse, Mercedes",05/15/2023,Failing to respond and late response to requests for information or documentation,Failing to respond and late response to requests for information or documentation,$500
2021T,"Narcisse, Mercedes",05/15/2023,Improper use of TIE funds,Improper use of TIE funds,$50
2021T,"Narcisse, Mercedes",05/15/2023,Failing to properly wind down TIE activities,Failing to properly wind down TIE activities,$100
2021T,"Adams, Eric",05/15/2023,Failing to respond and late response to requests for information or documentation,Failing to respond and late response to requests for information or documentation,"$14,400"
2021T,"Adams, Eric",05/15/2023,Failing to properly wind down TIE activities,Failing to properly wind down TIE activities,$200
2021T,"Adams, Eric",05/15/2023,Accepting prohibited donations,Accepting prohibited donations,"$5,000"
2021T,"Marte, Christopher",03/15/2023,Late response to requests for information or documentation,Late response to requests for documentation or information,$200
2021T,"Reynoso, Antonio",01/17/2023,Late filing of a periodic disclosure report,Late filing of a periodic disclosure report,$225
2021T,"Reynoso, Antonio",01/17/2023,Failing to respond to requests for information or documentation,Failing to respond to requests for information or documentation,$500
2021T,"Reynoso, Antonio",01/17/2023,Failing to report transactions,Failing to report transactions,$135
2021T,"Reynoso, Antonio",01/17/2023,Accepting prohibited donations,Accepting prohibited donations,"$5,962"
2021T,"Reynoso, Antonio",01/17/2023,Failing to properly wind down TIE activities,Failing to properly wind down TIE activities,$100
2021T,"Moya, Francisco",01/17/2023,Accepting prohibited donations,Accepting prohibited donations,$500
2021T,"Moya, Francisco",01/17/2023,Failing to properly wind down TIE activities,Failing to properly wind down TIE activities,$100
2021T,"Moya, Francisco",01/17/2023,Late response to requests for information or documentation,Late response to requests for documentation or information,$100
2021T,"Fossella, Vito",01/17/2023,Accepting prohibited donations,Accepting prohibited donations,"$2,483"
2021T,"Fossella, Vito",01/17/2023,Late response to requests for information or documentation,Late response to requests for documentation or information,$100
2021T,"Fossella, Vito",01/17/2023,Failing to properly wind down TIE activities,Failing to properly wind down TIE activities,$100
2019A,"Williams, Jumaane",02/15/2023,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$550
2019A,"Williams, Jumaane",02/15/2023,Failing to document transactions,Failing to document transactions,$550
2019A,"Williams, Jumaane",02/15/2023,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$1,250"
2019A,"Williams, Jumaane",02/15/2023,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",$300
2019A,"Williams, Jumaane",02/15/2023,Accepting contributions from unregistered political committees,Accepting contributions from unregistered political committees,$312
2019A,"Williams, Jumaane",02/15/2023,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,VNP
2019A,"Williams, Jumaane",02/15/2023,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$4,562"
2019A,"Williams, Jumaane",02/15/2023,Making impermissible post-election expenditures,Making impermissible post-election expenditures,VNP
2015,"Dosamantes, Celia",09/15/2022,Failing to provide bank statements,"Failing to provide bank, credit card, and merchant account statements","$5,000"
2015,"Dosamantes, Celia",09/15/2022,Failing to report transactions,Failing to report transactions,VNP
2015,"Dosamantes, Celia",09/15/2022,Failing to demonstrate complaince with cash receipts reporting and documentation requirements,Failing to demonstrate complaince with cash receipts reporting and documentation requirements,$112
